jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
1.4018e-09,1.4018,16.8218,3.9606,3.9620,0.0000,2.5700e-09
1.4408e-09,1.4408,17.2891,4.0706,4.0721,0.0000,2.5700e-09
1.4797e-09,1.4797,17.7564,4.1806,4.1821,0.0000,2.5700e-09
1.5186e-09,1.5186,18.2236,4.2907,4.2922,0.0000,2.5700e-09
1.5576e-09,1.5576,18.6909,4.4007,4.4022,0.0000,2.5700e-09
1.5965e-09,1.5965,19.1582,4.5107,4.5123,0.0000,2.5700e-09
1.6355e-09,1.6355,19.6255,4.6207,4.6223,0.0000,2.5700e-09
1.6744e-09,1.6744,20.0927,4.7307,4.7324,0.0000,2.5700e-09
1.7133e-09,1.7133,20.5600,4.8407,4.8425,0.0000,2.5700e-09
1.7523e-09,1.7523,21.0273,4.9508,4.9525,0.0000,2.5700e-09
1.7912e-09,1.7912,21.4945,5.0608,5.0626,0.0000,2.5700e-09
1.8302e-09,1.8302,21.9618,5.1708,5.1726,0.0000,2.5700e-09
1.8691e-09,1.8691,22.4291,5.2808,5.2827,0.0000,2.5700e-09
1.9080e-09,1.9080,22.8964,5.3908,5.3927,0.0000,2.5700e-09
1.9470e-09,1.9470,23.3636,5.5008,5.5028,0.0000,2.5700e-09
1.9859e-09,1.9859,23.8309,5.6109,5.6128,0.0000,2.5700e-09
2.0248e-09,2.0248,24.2982,5.7209,5.7229,0.0000,2.5700e-09
2.0638e-09,2.0638,24.7655,5.8309,5.8330,0.0000,2.5700e-09
2.1027e-09,2.1027,25.2327,5.9409,5.9430,0.0000,2.5700e-09
2.1417e-09,2.1417,25.7000,6.0509,6.0531,0.0000,2.5700e-09
2.1806e-09,2.1806,26.1673,6.1609,6.1631,0.0000,2.5700e-09
2.2195e-09,2.2195,26.6345,6.2710,6.2732,0.0000,2.5700e-09
2.2585e-09,2.2585,27.1018,6.3810,6.3832,0.0000,2.5700e-09
2.2974e-09,2.2974,27.5691,6.4910,6.4933,0.0000,2.5700e-09
2.3364e-09,2.3364,28.0364,6.6010,6.6033,0.0000,2.5700e-09
2.3753e-09,2.3753,28.5036,6.7110,6.7134,0.0000,2.5700e-09
2.4142e-09,2.4142,28.9709,6.8210,6.8235,0.0000,2.5700e-09
2.4532e-09,2.4532,29.4382,6.9311,6.9335,0.0000,2.5700e-09
2.4921e-09,2.4921,29.9055,7.0411,7.0436,0.0000,2.5700e-09
2.5311e-09,2.5311,30.3727,7.1511,7.1536,0.0000,2.5700e-09
2.5700e-09,2.5700,30.8400,7.2611,7.2637,0.0000,2.5700e-09
2.6089e-09,2.5700,30.8400,7.2611,7.2637,0.0149,2.6089e-09
2.6479e-09,2.5700,30.8399,7.2611,7.2637,0.0294,2.6479e-09
2.6868e-09,2.5700,30.8399,7.2611,7.2638,0.0435,2.6868e-09
2.7258e-09,2.5700,30.8399,7.2611,7.2638,0.0571,2.7258e-09
2.7647e-09,2.5700,30.8399,7.2611,7.2638,0.0704,2.7647e-09
2.8036e-09,2.5700,30.8398,7.2611,7.2639,0.0833,2.8036e-09
2.8426e-09,2.5700,30.8398,7.2611,7.2639,0.0959,2.8426e-09
2.8815e-09,2.5700,30.8398,7.2611,7.2639,0.1081,2.8815e-09
2.9205e-09,2.5700,30.8398,7.2611,7.2640,0.1200,2.9205e-09
2.9594e-09,2.5700,30.8397,7.2611,7.2640,0.1316,2.9594e-09
2.9983e-09,2.5700,30.8397,7.2610,7.2640,0.1429,2.9983e-09
3.0373e-09,2.5700,30.8397,7.2610,7.2641,0.1539,3.0373e-09
3.0762e-09,2.5700,30.8397,7.2610,7.2641,0.1646,3.0762e-09
3.1152e-09,2.5700,30.8396,7.2610,7.2641,0.1750,3.1152e-09
3.1541e-09,2.5700,30.8396,7.2610,7.2642,0.1852,3.1541e-09
3.1930e-09,2.5700,30.8396,7.2610,7.2642,0.1951,3.1930e-09
