jump_n_m,sigma_neck_MPa,P_kN,elastic_def_um,def_Ls_um,damage,kappa
5.5664e-05,1.0620,12.7443,3.0006,58.6641,1.0000,5.5664e-05
5.5987e-05,1.0533,12.6391,2.9758,58.9629,1.0000,5.5987e-05
5.6311e-05,1.0445,12.5339,2.9510,59.2618,1.0000,5.6311e-05
5.6634e-05,1.0357,12.4286,2.9263,59.5606,1.0000,5.6634e-05
5.6958e-05,1.0270,12.3234,2.9015,59.8594,1.0000,5.6958e-05
5.7282e-05,1.0182,12.2182,2.8767,60.1583,1.0000,5.7282e-05
5.7605e-05,1.0094,12.1130,2.8519,60.4571,1.0000,5.7605e-05
5.7929e-05,1.0007,12.0078,2.8272,60.7559,1.0000,5.7929e-05
5.8252e-05,0.9919,11.9026,2.8024,61.0548,1.0000,5.8252e-05
5.8576e-05,0.9831,11.7974,2.7776,61.3536,1.0000,5.8576e-05
5.8900e-05,0.9744,11.6922,2.7529,61.6524,1.0000,5.8900e-05
5.9223e-05,0.9656,11.5870,2.7281,61.9513,1.0000,5.9223e-05
5.9547e-05,0.9568,11.4818,2.7033,62.2501,1.0000,5.9547e-05
5.9870e-05,0.9480,11.3766,2.6786,62.5489,1.0000,5.9870e-05
6.0194e-05,0.9393,11.2714,2.6538,62.8478,1.0000,6.0194e-05
6.0518e-05,0.9305,11.1662,2.6290,63.1466,1.0000,6.0518e-05
6.0841e-05,0.9217,11.0610,2.6042,63.4454,1.0000,6.0841e-05
6.1165e-05,0.9130,10.9558,2.5795,63.7443,1.0000,6.1165e-05
6.1488e-05,0.9042,10.8506,2.5547,64.0431,1.0000,6.1488e-05
6.1812e-05,0.8954,10.7454,2.5299,64.3419,1.0000,6.1812e-05
6.2136e-05,0.8867,10.6402,2.5052,64.6408,1.0000,6.2136e-05
6.2459e-05,0.8779,10.5350,2.4804,64.9396,1.0000,6.2459e-05
6.2783e-05,0.8691,10.4297,2.4556,65.2384,1.0000,6.2783e-05
6.3106e-05,0.8604,10.3245,2.4309,65.5373,1.0000,6.3106e-05
6.3430e-05,0.8516,10.2193,2.4061,65.8361,1.0000,6.3430e-05
6.3754e-05,0.8428,10.1141,2.3813,66.1349,1.0000,6.3754e-05
6.4077e-05,0.8341,10.0089,2.3565,66.4338,1.0000,6.4077e-05
6.4401e-05,0.8253,9.9037,2.3318,66.7326,1.0000,6.4401e-05
6.4724e-05,0.8165,9.7985,2.3070,67.0314,1.0000,6.4724e-05
6.5048e-05,0.8078,9.6933,2.2822,67.3303,1.0000,6.5048e-05
6.5372e-05,0.7990,9.5881,2.2575,67.6291,1.0000,6.5372e-05
6.5695e-05,0.7902,9.4829,2.2327,67.9279,1.0000,6.5695e-05
6.6019e-05,0.7815,9.3777,2.2079,68.2268,1.0000,6.6019e-05
6.6342e-05,0.7727,9.2725,2.1832,68.5256,1.0000,6.6342e-05
6.6666e-05,0.7639,9.1673,2.1584,68.8244,1.0000,6.6666e-05
6.6990e-05,0.7552,9.0621,2.1336,69.1233,1.0000,6.6990e-05
6.7313e-05,0.7464,8.9569,2.1088,69.4221,1.0000,6.7313e-05
6.7637e-05,0.7376,8.8517,2.0841,69.7209,1.0000,6.7637e-05
6.7960e-05,0.7289,8.7465,2.0593,70.0197,1.0000,6.7960e-05
6.8284e-05,0.7201,8.6413,2.0345,70.3186,1.0000,6.8284e-05
6.8608e-05,0.7113,8.5360,2.0098,70.6174,1.0000,6.8608e-05
6.8931e-05,0.7026,8.4308,1.9850,70.9162,1.0000,6.8931e-05
6.9255e-05,0.6938,8.3256,1.9602,71.2151,1.0000,6.9255e-05
6.9578e-05,0.6850,8.2204,1.9355,71.5139,1.0000,6.9578e-05
6.9902e-05,0.6763,8.1152,1.9107,71.8127,1.0000,6.9902e-05
7.0226e-05,0.6675,8.0100,1.8859,72.1116,1.0000,7.0226e-05
7.0549e-05,0.6587,7.9048,1.8611,72.4104,1.0000,7.0549e-05
7.0873e-05,0.6500,7.7996,1.8364,72.7092,1.0000,7.0873e-05
7.1196e-05,0.6412,7.6944,1.8116,73.0081,1.0000,7.1196e-05
7.1520e-05,0.6324,7.5892,1.7868,73.3069,1.0000,7.1520e-05
7.1844e-05,0.6237,7.4840,1.7621,73.6057,1.0000,7.1844e-05
7.2167e-05,0.6149,7.3788,1.7373,73.9046,1.0000,7.2167e-05
7.2491e-05,0.6061,7.2736,1.7125,74.2034,1.0000,7.2491e-05
7.2814e-05,0.5974,7.1684,1.6878,74.5022,1.0000,7.2814e-05
7.3138e-05,0.5886,7.0632,1.6630,74.8011,1.0000,7.3138e-05
7.3462e-05,0.5798,6.9580,1.6382,75.0999,1.0000,7.3462e-05
7.3785e-05,0.5711,6.8528,1.6134,75.3987,1.0000,7.3785e-05
7.4109e-05,0.5623,6.7476,1.5887,75.6976,1.0000,7.4109e-05
7.4432e-05,0.5535,6.6424,1.5639,75.9964,1.0000,7.4432e-05
7.4756e-05,0.5448,6.5371,1.5391,76.2952,1.0000,7.4756e-05
7.5080e-05,0.5360,6.4319,1.5144,76.5941,1.0000,7.5080e-05
7.5403e-05,0.5272,6.3267,1.4896,76.8929,1.0000,7.5403e-05
7.5727e-05,0.5185,6.2215,1.4648,77.1917,1.0000,7.5727e-05
